generation,stra.1,stra.15,stra.71,stra.138,stra.195,stra.197,stra.229,stra.233,stra.237,stra.257
539100,0,3.23E-291,0,1.65E-154,6.40E-15,0,0,1.00E-160,0.000325497,0.987248
539200,0,0,0,1.20E-191,2.97E-52,0,0,1.91E-11,0.000234701,0.987431
539300,0,0,0,7.85E-229,1.30E-89,3.54E-242,0,3.09E-31,0.000169527,0.987449
539400,0,0,0,5.33E-266,6.17E-127,0,0,4.92E-51,0.00012223,0.986831
539500,0,0,0,3.68E-303,2.88E-164,0,0,7.92E-71,8.79E-05,0.986893
539600,0,0,0,0,1.31E-201,9.20E-115,0,1.27E-90,6.29E-05,0.986572
539700,0,0,0,0,6.33E-239,0,0,2.07E-110,4.59E-05,0.987214
539800,0,0,0,4.19E-30,2.95E-276,0,0,3.38E-130,3.34E-05,0.987411
539900,0,0,4.48E-42,2.95E-67,1.33496e-313,0,0,5.47E-150,2.41E-05,0.987183
540000,0,0,3.63E-88,2.20E-104,0,0,0,8.75E-170,1.74E-05,0.984605
540100,0,0,4.78E-134,1.84E-141,0,0,0,1.33E-189,1.22E-05,0.983087
540200,0,0,6.22E-180,1.55E-178,0,0,0,2.02E-209,8.48E-06,0.983824
540300,0,0,6.59E-226,1.26E-215,0,0,0,3.12E-229,6.02E-06,0.985254
540400,0,0,6.07E-272,2.54E-29,0,0,0,4.86E-249,4.33E-06,0.985811
540500,0,0,5.13407e-318,2.01E-66,0,0,0,7.56E-269,3.10E-06,0.986293
540600,0,0,0,1.55E-103,0,0,0,1.17E-288,2.20E-06,0.986926
540700,0,0,0,1.74E-14,0,0,7.91E-19,0.00E+00,1.52E-06,0.985937
540800,1.27E-29,0,0,1.33E-51,1.49E-36,0,1.40E-56,4.94066e-324,1.06E-06,0.987234
540900,5.41E-231,0,0,9.64E-89,6.32E-74,0,2.34E-94,4.94066e-324,7.28E-07,0.986988
541000,0,0,0,6.77E-126,2.44E-111,0,3.86E-132,4.94066e-324,5.08E-07,0.989041
541100,0,0,0,4.74E-163,9.39E-149,0,6.89E-170,4.94066e-324,3.53E-07,0.988148
541200,0,0,0,3.26E-200,3.46E-186,1.30E-201,1.28E-207,8.99E-19,2.47E-07,0.988407
541300,0,0,0,2.20E-237,7.59E-08,0,2.50E-245,3.88E-21,1.77E-07,0.989179
541400,0,0,0,1.48E-274,2.79E-45,0,5.08E-283,6.44E-41,1.28E-07,0.988719
541500,0,0,0,1.01507e-311,1.15E-82,0,1.16797e-320,1.07E-60,9.29E-08,0.986232
541600,0,1.32E-24,0,0,5.41E-120,0,0,1.74E-80,6.64E-08,0.985852
541700,0,1.72E-62,0,0,2.98E-157,0,0,6.66E-06,4.78E-08,0.985298
541800,0,2.26E-100,0,0,1.61E-194,0,0,1.06E-25,3.44E-08,0.9856
541900,0,3.14E-138,0,0,9.17E-232,0,5.38E-41,1.68E-45,0.00087364,0.984003
542000,1.19E-05,5.21E-176,0,0,6.24E-269,0,1.22E-78,2.51E-65,0.000608973,0.984118
542100,5.74E-200,7.72E-214,0,0,3.88E-306,0,2.50E-116,3.58E-85,0.00040594,0.98389
542200,0,1.06E-251,0,0,0,0,5.14E-154,5.11E-105,0.000270035,0.983605
542300,0,1.27E-289,0,0,0,0,9.92E-192,7.14E-125,0.000175696,0.984701
542400,0,0,0,0,0,0,1.91E-229,1.03E-144,0.000117263,0.98467
542500,0,0,0,0,0,0,3.66E-267,1.52E-164,8.02E-05,0.98635
542600,0,0,0,0,0,0,6.84E-305,2.16E-184,5.31E-05,0.984303
542700,0,0,0,0,0,0,0,3.13E-204,3.59E-05,0.986465
542800,0,0,0,0,0,0,0,1.88E-13,2.43E-05,0.9868
542900,0,0,0,0,0,0,0,2.66E-33,1.61E-05,0.986424
543000,0,0,0,0,0,0,0,3.69E-53,1.04E-05,0.984765
543100,0,0,0,0,0,0,0,5.26E-73,6.82E-06,0.985777
543200,0,0,0,0,0,0,0,7.75E-93,4.69E-06,0.985879
543300,0,0,0,0,0,0,0,1.65E-06,3.17E-06,0.986038
543400,0,0,0,0,0,0,1.49E-13,2.38E-26,2.09E-06,0.987521
