generation,stra.1,stra.2,stra.3,stra.4,stra.5,stra.6,stra.7,stra.8,stra.9,stra.10,stra.11,stra.12,stra.13,stra.14,stra.15,stra.16,stra.17
70,3.22E-143,0,6.62E-88,3.92E-86,0,0,5.28E-45,0,0,1.48E-43,3.87E-36,5.84E-05,2.46E-32,8.77E-06,5.57E-12,0,0.99993288
71,3.67E-148,0,4.16E-90,5.16E-88,0,0,7.14E-46,0,0,2.01E-44,5.35E-37,2.26E-05,6.32E-33,8.73E-06,5.58E-12,0,0.99996862
72,2.50E-153,0,2.63E-92,6.81E-90,0,0,9.65E-47,0,0,2.72E-45,7.39E-38,8.79E-06,1.62E-33,8.70E-06,5.58E-12,0,0.999982511
73,1.26E-158,0,1.67E-94,9.00E-92,0,0,1.30E-47,0,0,3.68E-46,1.02E-38,3.41E-06,4.18E-34,8.67E-06,5.59E-12,0,0.999987923
74,5.44E-164,0,1.06E-96,1.19E-93,0,0,1.76E-48,0,0,4.98E-47,1.41E-39,1.32E-06,1.07E-34,8.63E-06,5.59E-12,0,0.999990045
75,2.19E-169,0,6.73E-99,1.57E-95,0,0,2.38E-49,0,0,6.74E-48,1.95E-40,5.14E-07,2.76E-35,8.60E-06,5.60E-12,0,0.999990889
76,8.59E-175,0,4.27E-101,2.08E-97,0,0,3.22E-50,0,0,9.12E-49,2.69E-41,1.99E-07,7.09E-36,8.56E-06,5.60E-12,0,0.999991237
77,3.31E-180,0,2.71E-103,2.75E-99,0,0,4.35E-51,0,0,1.23E-49,3.72E-42,7.74E-08,1.82E-36,8.53E-06,5.61E-12,0,0.999991393
78,1.27E-185,0,1.72E-105,3.64E-101,0,0,5.89E-52,0,0,1.67E-50,5.14E-43,3.00E-08,4.69E-37,8.50E-06,5.61E-12,0,0.999991474
79,4.81E-191,0,1.09E-107,4.81E-103,0,0,7.96E-53,0,0,2.26E-51,7.10E-44,1.17E-08,1.21E-37,8.46E-06,5.62E-12,0,0.999991526
80,1.82E-196,0,6.95E-110,6.37E-105,0,0,1.08E-53,0,0,3.06E-52,9.81E-45,4.53E-09,3.10E-38,8.43E-06,5.62E-12,0,0.999991567
